Country,Year,Bank account,Location Type,Access to cellphone,Household size,Age of respondent,Gender of respondent,Relation with head of the house,Marital status,Education level,Job type
Tanzania,2017,Yes,Rural,Yes,2,36,Female,Spouse,Single/Never Married,Tertiary education,Formally employed Private
Tanzania,2017,No,Urban,Yes,2,39,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,2,32,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,No,Urban,No,2,19,Female,Spouse,Single/Never Married,Primary education,Informally employed
Tanzania,2017,No,Urban,Yes,3,45,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,2,25,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Rural,No,1,61,Male,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,No,Rural,No,2,25,Female,Spouse,Single/Never Married,No formal education,Self employed
Tanzania,2017,No,Urban,Yes,2,30,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,3,20,Female,Other relative,Single/Never Married,Tertiary education,Remittance Dependent
Tanzania,2017,No,Urban,Yes,2,16,Male,Other non-relatives,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,No,Rural,No,2,26,Female,Spouse,Single/Never Married,Primary education,Informally employed
Tanzania,2017,No,Urban,No,2,22,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,3,68,Male,Head of Household,Single/Never Married,No formal education,Self employed
Tanzania,2017,No,Urban,No,2,70,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Tanzania,2017,No,Urban,Yes,2,30,Female,Spouse,Single/Never Married,Secondary education,Informally employed
Tanzania,2017,No,Urban,No,2,56,Female,Spouse,Single/Never Married,Primary education,Informally employed
Tanzania,2017,No,Urban,No,3,55,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,Yes,Urban,Yes,2,37,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,2,31,Male,Other non-relatives,Divorced/Seperated,No formal education,Self employed
Tanzania,2017,No,Urban,Yes,2,20,Female,Child,Divorced/Seperated,Secondary education,Self employed
Tanzania,2017,No,Urban,No,4,47,Female,Spouse,Single/Never Married,No formal education,Informally employed
Tanzania,2017,No,Urban,No,2,55,Female,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,2,26,Male,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,Yes,Urban,Yes,1,24,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
Tanzania,2017,No,Urban,No,2,22,Female,Parent,Married/Living together,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,3,23,Female,Other relative,Divorced/Seperated,Vocational/Specialised training,Remittance Dependent
Tanzania,2017,No,Urban,No,2,26,Female,Spouse,Single/Never Married,Primary education,Informally employed
Tanzania,2017,No,Urban,No,5,17,Female,Parent,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Rural,No,1,65,Female,Head of Household,Widowed,No formal education,Other Income
Tanzania,2017,No,Urban,Yes,2,49,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,4,21,Male,Child,Divorced/Seperated,Secondary education,Self employed
Tanzania,2017,No,Urban,Yes,1,34,Female,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,No,Urban,Yes,4,34,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,2,76,Female,Head of Household,Widowed,No formal education,Self employed
Tanzania,2017,No,Rural,Yes,5,22,Male,Parent,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,No,Urban,Yes,4,19,Male,Child,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,2,33,Male,Parent,Married/Living together,Primary education,Informally employed
Tanzania,2017,No,Urban,No,2,38,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Rural,Yes,4,40,Male,Other relative,Married/Living together,Primary education,Self employed
Tanzania,2017,No,Urban,No,2,45,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,No,Urban,No,2,30,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,Yes,Urban,Yes,3,52,Female,Head of Household,Widowed,Tertiary education,Formally employed Private
Tanzania,2017,No,Urban,Yes,2,60,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,1,70,Male,Head of Household,Widowed,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,1,37,Male,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,2,45,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,1,51,Female,Head of Household,Married/Living together,No formal education,Remittance Dependent
Tanzania,2017,No,Rural,Yes,2,39,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,No,Urban,No,2,35,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,2,34,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,2,31,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,4,26,Female,Child,Married/Living together,Primary education,Self employed
Tanzania,2017,No,Rural,No,2,40,Female,Spouse,Single/Never Married,Primary education,Informally employed
Tanzania,2017,No,Rural,Yes,2,23,Male,Head of Household,Divorced/Seperated,Tertiary education,Formally employed Private
Tanzania,2017,Yes,Rural,Yes,3,43,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
Tanzania,2017,No,Rural,Yes,2,25,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,No,Urban,No,2,91,Male,Head of Household,Single/Never Married,No formal education,Self employed
Tanzania,2017,No,Rural,Yes,1,24,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,No,Urban,Yes,1,54,Female,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,No,Urban,No,4,47,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,No,Urban,Yes,2,26,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
Tanzania,2017,No,Urban,Yes,3,38,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,Yes,Rural,Yes,4,45,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,6,24,Male,Parent,Divorced/Seperated,Secondary education,Self employed
Tanzania,2017,No,Urban,Yes,2,21,Male,Parent,Divorced/Seperated,No formal education,Self employed
Tanzania,2017,No,Rural,Yes,2,26,Female,Spouse,Single/Never Married,Tertiary education,Self employed
Tanzania,2017,No,Urban,No,2,42,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,No,Urban,Yes,4,43,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,2,40,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,2,35,Female,Spouse,Single/Never Married,No formal education,Self employed
Tanzania,2017,No,Rural,Yes,2,21,Male,Other relative,Divorced/Seperated,Secondary education,Formally employed Private
Tanzania,2017,No,Rural,Yes,2,40,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,2,27,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,Yes,Urban,Yes,1,45,Female,Head of Household,Married/Living together,Secondary education,Self employed
Tanzania,2017,No,Urban,No,2,60,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,3,68,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,1,23,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Rural,No,1,62,Female,Head of Household,Widowed,No formal education,Self employed
Tanzania,2017,No,Urban,No,3,36,Female,Spouse,Single/Never Married,Primary education,No Income
Tanzania,2017,No,Urban,Yes,2,30,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,No,Urban,No,3,18,Female,Parent,Divorced/Seperated,Secondary education,Remittance Dependent
Tanzania,2017,No,Urban,No,2,22,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Rural,Yes,4,25,Male,Parent,Divorced/Seperated,Tertiary education,No Income
Tanzania,2017,Yes,Rural,Yes,1,63,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Government Dependent
Tanzania,2017,No,Urban,No,7,17,Male,Parent,Divorced/Seperated,Secondary education,Informally employed
Tanzania,2017,No,Urban,No,1,44,Male,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,Yes,Urban,Yes,2,53,Female,Head of Household,Single/Never Married,Tertiary education,Self employed
Tanzania,2017,No,Urban,No,2,38,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,1,40,Female,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,No,Rural,Yes,1,22,Male,Head of Household,Divorced/Seperated,Tertiary education,Formally employed Private
Tanzania,2017,No,Urban,Yes,2,30,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,6,19,Male,Parent,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,No,Rural,No,1,46,Female,Head of Household,Married/Living together,No formal education,Self employed
Tanzania,2017,No,Urban,Yes,3,41,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,5,23,Female,Parent,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,4,53,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,1,28,Male,Child,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,1,27,Female,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,Yes,Rural,Yes,3,35,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
Tanzania,2017,No,Rural,No,1,52,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,No,Urban,Yes,1,45,Female,Head of Household,Single/Never Married,No formal education,Self employed
Tanzania,2017,No,Urban,Yes,3,20,Female,Parent,Divorced/Seperated,Primary education,No Income
Tanzania,2017,No,Rural,Yes,2,29,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,2,40,Female,Spouse,Single/Never Married,Primary education,Informally employed
Tanzania,2017,No,Urban,No,1,73,Female,Head of Household,Widowed,No formal education,No Income
Tanzania,2017,No,Rural,No,1,25,Female,Head of Household,Single/Never Married,No formal education,No Income
Tanzania,2017,No,Urban,Yes,3,44,Female,Spouse,Single/Never Married,No formal education,Self employed
Tanzania,2017,No,Urban,No,2,23,Female,Other relative,Single/Never Married,Primary education,Informally employed
Tanzania,2017,No,Rural,Yes,5,26,Male,Parent,Single/Never Married,Tertiary education,Informally employed
Tanzania,2017,No,Urban,Yes,3,68,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Rural,No,2,24,Female,Spouse,Single/Never Married,Tertiary education,No Income
Tanzania,2017,No,Urban,No,3,83,Male,Child,Widowed,No formal education,No Income
Tanzania,2017,No,Rural,Yes,2,33,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
Tanzania,2017,No,Rural,Yes,2,67,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
Tanzania,2017,No,Rural,Yes,2,19,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,No,Urban,No,3,30,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,1,71,Female,Head of Household,Widowed,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,2,30,Female,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,1,48,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,No,Urban,No,5,22,Male,Parent,Divorced/Seperated,No formal education,Self employed
Tanzania,2017,No,Urban,No,2,32,Male,Head of Household,Single/Never Married,No formal education,Self employed
Tanzania,2017,No,Urban,No,3,49,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,2,17,Male,Parent,Divorced/Seperated,No formal education,Informally employed
Tanzania,2017,Yes,Urban,Yes,1,25,Female,Head of Household,Divorced/Seperated,Vocational/Specialised training,Formally employed Private
Tanzania,2017,No,Urban,Yes,4,51,Female,Other relative,Married/Living together,Primary education,Self employed
Tanzania,2017,No,Rural,Yes,2,30,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,2,17,Female,Parent,Divorced/Seperated,Secondary education,No Income
Tanzania,2017,No,Urban,Yes,2,41,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,Yes,Rural,Yes,1,28,Male,Head of Household,Divorced/Seperated,Vocational/Specialised training,Formally employed Private
Tanzania,2017,No,Urban,Yes,2,39,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,1,31,Female,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,No,Rural,Yes,2,21,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,1,32,Female,Head of Household,Single/Never Married,No formal education,Informally employed
Tanzania,2017,Yes,Urban,Yes,1,30,Male,Head of Household,Single/Never Married,No formal education,Formally employed Private
Tanzania,2017,No,Urban,Yes,2,32,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Rural,No,2,26,Male,Head of Household,Single/Never Married,No formal education,Self employed
Tanzania,2017,No,Urban,Yes,2,30,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,2,30,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,2,29,Male,Spouse,Single/Never Married,Tertiary education,No Income
Tanzania,2017,Yes,Urban,Yes,2,52,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,2,36,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Rural,Yes,1,25,Female,Head of Household,Divorced/Seperated,Tertiary education,Formally employed Private
Tanzania,2017,No,Rural,Yes,2,26,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,6,28,Male,Parent,Single/Never Married,No formal education,Self employed
Tanzania,2017,Yes,Rural,Yes,2,50,Female,Spouse,Single/Never Married,Vocational/Specialised training,Formally employed Private
Tanzania,2017,No,Urban,No,1,40,Female,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,Yes,Rural,Yes,1,26,Male,Head of Household,Divorced/Seperated,Tertiary education,Informally employed
Tanzania,2017,No,Urban,Yes,3,35,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,1,35,Female,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,1,65,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,Yes,Rural,Yes,1,32,Male,Head of Household,Divorced/Seperated,Secondary education,Formally employed Private
Tanzania,2017,No,Urban,Yes,3,24,Male,Parent,Divorced/Seperated,Secondary education,Self employed
Tanzania,2017,No,Rural,No,2,61,Female,Spouse,Single/Never Married,No formal education,Self employed
Tanzania,2017,No,Urban,Yes,2,29,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,2,45,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,Yes,Rural,Yes,4,29,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,2,36,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,1,32,Female,Head of Household,Widowed,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,7,87,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,2,20,Female,Spouse,Single/Never Married,No formal education,Informally employed
Tanzania,2017,No,Urban,Yes,5,50,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Rural,Yes,2,38,Female,Head of Household,Single/Never Married,No formal education,Informally employed
Tanzania,2017,No,Rural,Yes,2,33,Female,Head of Household,Widowed,Primary education,Informally employed
Tanzania,2017,No,Rural,No,3,71,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Rural,Yes,1,72,Female,Head of Household,Widowed,No formal education,No Income
Tanzania,2017,No,Urban,Yes,2,67,Male,Head of Household,Single/Never Married,Primary education,Other Income
Tanzania,2017,No,Rural,Yes,4,25,Female,Spouse,Single/Never Married,Primary education,No Income
Tanzania,2017,No,Urban,Yes,1,28,Female,Head of Household,Widowed,Primary education,Informally employed
Tanzania,2017,No,Rural,Yes,5,47,Female,Spouse,Single/Never Married,Primary education,Informally employed
Tanzania,2017,No,Urban,No,4,28,Female,Other relative,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,No,Urban,No,2,31,Female,Spouse,Single/Never Married,No formal education,Self employed
Tanzania,2017,No,Urban,No,2,30,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,4,23,Female,Parent,Single/Never Married,Primary education,No Income
Tanzania,2017,Yes,Urban,Yes,3,27,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
Tanzania,2017,No,Urban,No,2,21,Female,Spouse,Single/Never Married,Primary education,No Income
Tanzania,2017,No,Rural,Yes,2,34,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,1,60,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Tanzania,2017,Yes,Urban,No,2,29,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Rural,No,3,25,Female,Spouse,Single/Never Married,No formal education,Informally employed
Tanzania,2017,No,Urban,Yes,2,33,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Rural,Yes,2,22,Male,Parent,Divorced/Seperated,Tertiary education,No Income
Tanzania,2017,No,Urban,Yes,3,52,Female,Head of Household,Widowed,Primary education,Self employed
Tanzania,2017,No,Urban,No,1,76,Female,Head of Household,Widowed,Primary education,Remittance Dependent
Tanzania,2017,No,Rural,Yes,2,35,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,4,22,Male,Other relative,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,No,Urban,Yes,1,32,Female,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,No,Urban,No,3,17,Female,Child,Divorced/Seperated,Secondary education,Remittance Dependent
Tanzania,2017,No,Urban,No,2,80,Male,Head of Household,Single/Never Married,No formal education,Self employed
Tanzania,2017,No,Urban,No,2,22,Male,Parent,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,No,Rural,Yes,3,53,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,6,30,Male,Parent,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,5,86,Male,Head of Household,Single/Never Married,No formal education,Self employed
Tanzania,2017,No,Urban,No,3,17,Male,Parent,Divorced/Seperated,Secondary education,Self employed
Tanzania,2017,No,Urban,No,3,90,Male,Child,Widowed,No formal education,No Income
Tanzania,2017,Yes,Rural,Yes,2,49,Female,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,1,58,Female,Head of Household,Widowed,Primary education,Self employed
Tanzania,2017,No,Urban,No,2,39,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Rural,Yes,1,25,Female,Head of Household,Divorced/Seperated,Tertiary education,Remittance Dependent
Tanzania,2017,Yes,Rural,Yes,2,38,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Self employed
Tanzania,2017,No,Urban,Yes,2,44,Male,Head of Household,Single/Never Married,Primary education,Other Income
Tanzania,2017,No,Urban,Yes,2,30,Female,Spouse,Single/Never Married,No formal education,Remittance Dependent
Tanzania,2017,No,Rural,Yes,2,40,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,No,Urban,No,2,50,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Rural,Yes,3,52,Female,Spouse,Single/Never Married,Secondary education,Self employed
Tanzania,2017,No,Urban,No,4,25,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
Tanzania,2017,No,Urban,Yes,7,26,Male,Parent,Divorced/Seperated,Tertiary education,Self employed
Tanzania,2017,No,Urban,Yes,3,35,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,2,33,Female,Spouse,Single/Never Married,Secondary education,Self employed
Tanzania,2017,No,Urban,Yes,3,19,Male,Parent,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,2,38,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Rural,Yes,4,43,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,No,Rural,No,2,56,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,6,19,Male,Parent,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,1,66,Female,Head of Household,Married/Living together,No formal education,Self employed
Tanzania,2017,No,Urban,Yes,4,25,Male,Parent,Divorced/Seperated,Secondary education,Informally employed
Tanzania,2017,No,Rural,Yes,2,20,Female,Parent,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,2,28,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Rural,Yes,1,43,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,6,52,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,Yes,Rural,Yes,2,30,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,2,16,Male,Parent,Divorced/Seperated,No formal education,Self employed
Tanzania,2017,No,Urban,Yes,1,22,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,No,Urban,Yes,2,30,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,No,Urban,Yes,3,50,Female,Child,Divorced/Seperated,Tertiary education,Informally employed
Tanzania,2017,No,Urban,Yes,3,35,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,1,65,Female,Head of Household,Widowed,Primary education,Self employed
Tanzania,2017,No,Urban,No,1,47,Male,Head of Household,Widowed,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,2,32,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,No,Urban,Yes,2,36,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,1,39,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,4,60,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,2,45,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,4,32,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,2,29,Female,Spouse,Single/Never Married,Tertiary education,Remittance Dependent
Tanzania,2017,No,Rural,No,5,20,Female,Other non-relatives,Divorced/Seperated,Primary education,Formally employed Private
Tanzania,2017,No,Urban,Yes,2,27,Male,Head of Household,Single/Never Married,Secondary education,Self employed
Tanzania,2017,No,Urban,Yes,3,67,Female,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,1,62,Female,Head of Household,Widowed,No formal education,Informally employed
Tanzania,2017,No,Urban,Yes,4,25,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,No,Urban,Yes,1,75,Female,Head of Household,Widowed,No formal education,Self employed
Tanzania,2017,No,Urban,Yes,2,55,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,2,22,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,2,37,Male,Parent,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,4,49,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,1,70,Female,Head of Household,Widowed,No formal education,Government Dependent
Tanzania,2017,No,Rural,No,1,26,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,No,Urban,Yes,2,48,Female,Spouse,Single/Never Married,No formal education,Self employed
Tanzania,2017,No,Rural,Yes,2,30,Female,Head of Household,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,No,Urban,Yes,3,17,Female,Child,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,No,Urban,No,1,55,Female,Head of Household,Widowed,No formal education,Self employed
Tanzania,2017,No,Urban,No,1,70,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,Yes,Rural,Yes,4,34,Female,Spouse,Single/Never Married,Tertiary education,Self employed
Tanzania,2017,No,Rural,Yes,1,26,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,No,Urban,No,2,16,Male,Other non-relatives,Divorced/Seperated,Secondary education,Remittance Dependent
Tanzania,2017,No,Urban,Yes,1,46,Male,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,No,Rural,No,2,20,Female,Child,Widowed,Primary education,Self employed
Tanzania,2017,Yes,Rural,Yes,1,30,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
Tanzania,2017,No,Urban,No,2,35,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,No,3,18,Female,Other relative,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,Yes,Rural,Yes,3,43,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
Tanzania,2017,No,Rural,Yes,5,53,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,2,22,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,Yes,Rural,Yes,2,25,Male,Head of Household,Divorced/Seperated,Secondary education,Self employed
Tanzania,2017,No,Urban,No,2,81,Male,Head of Household,Single/Never Married,No formal education,No Income
Tanzania,2017,No,Urban,Yes,2,23,Male,Head of Household,Divorced/Seperated,Tertiary education,Informally employed
Tanzania,2017,No,Urban,Yes,2,35,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,No,Urban,Yes,2,30,Female,Spouse,Single/Never Married,Primary education,Informally employed
Tanzania,2017,No,Urban,No,2,24,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,No,Urban,No,2,26,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Rural,No,2,29,Female,Spouse,Single/Never Married,Tertiary education,Informally employed
Tanzania,2017,No,Urban,Yes,2,45,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,2,33,Female,Spouse,Single/Never Married,Tertiary education,Informally employed
Tanzania,2017,No,Urban,No,2,25,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,4,17,Male,Child,Divorced/Seperated,No formal education,Informally employed
Tanzania,2017,No,Urban,No,2,67,Female,Spouse,Single/Never Married,Primary education,No Income
Tanzania,2017,No,Rural,Yes,2,19,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,No,Urban,Yes,1,65,Female,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,No,Urban,Yes,2,52,Female,Head of Household,Single/Never Married,Primary education,Other Income
